Date,Open,High,Low,Close,Volume,signal,equity
2024-11-14,327.69,329.98,310.37,311.18,120726109,Hold,1.0
2024-11-15,310.57,324.6799,309.22,320.72,114440286,Hold,1.0
2024-11-18,340.73,348.5499,330.01,338.74,126547455,Hold,1.0
2024-11-19,335.76,347.3799,332.75,346.0,88852452,Hold,1.0
2024-11-20,345.0,346.5999,334.3,342.03,66340650,Hold,1.0
2024-11-21,343.81,347.9899,335.28,339.64,58011719,Hold,1.0
2024-11-22,341.085,361.53,337.7,352.56,89140722,Hold,1.0
2024-11-25,360.14,361.93,338.2,338.59,95890899,Hold,1.0
2024-11-26,341.0,346.96,335.66,338.23,62295857,Hold,1.0
2024-11-27,341.8,342.55,326.59,332.89,57896439,Hold,1.0
2024-11-29,336.08,345.45,334.6501,345.16,37167621,Hold,1.0
2024-12-02,352.38,360.0,351.1501,357.09,77986478,Hold,1.0
2024-12-03,351.8,355.69,348.2,351.42,58267196,Hold,1.0
2024-12-04,353.0,358.1,348.6,357.93,50810874,Hold,1.0
2024-12-05,359.87,375.43,359.5,369.49,81403569,Hold,1.0
2024-12-06,377.42,389.49,370.8,389.22,81455834,Hold,1.0
2024-12-09,397.61,404.8,378.01,389.79,96359173,Hold,1.0
2024-12-10,392.68,409.73,390.85,400.99,97563578,Hold,1.0
2024-12-11,409.7,424.88,402.38,424.77,104287559,Hold,1.0
2024-12-12,424.84,429.3,415.0,418.1,87752225,Hold,1.0
2024-12-13,420.0,436.3,415.71,436.23,89000158,Hold,1.0
2024-12-16,441.09,463.19,436.15,463.02,114083811,Hold,1.0
2024-12-17,475.9,483.99,457.5101,479.86,131222978,Hold,1.0
2024-12-18,466.495,488.5399,427.01,440.13,149340788,Hold,1.0
2024-12-19,451.88,456.36,420.02,436.17,118566146,Hold,1.0
2024-12-20,425.505,447.08,417.64,421.06,132216176,Hold,1.0
2024-12-23,431.0,434.51,415.4112,430.6,72698055,Hold,1.0
2024-12-24,435.9,462.78,435.14,462.28,59551750,Hold,1.0
2024-12-26,465.16,465.3299,451.02,454.13,76651210,Hold,1.0
2024-12-27,449.52,450.0,426.5,431.66,82666821,Hold,1.0
2024-12-30,419.4,427.0,415.75,417.41,64941012,Hold,1.0
2024-12-31,423.79,427.93,402.54,403.84,76825121,Hold,1.0
2025-01-02,390.1,392.7299,373.04,379.28,109710749,Hold,1.0
2025-01-03,381.48,411.8799,379.45,410.44,95423329,Hold,1.0
2025-01-06,423.2,426.43,401.7,411.05,85516534,Hold,1.0
2025-01-07,405.83,414.33,390.0,394.36,75699525,Hold,1.0
2025-01-08,392.95,402.4999,387.4,394.94,73038805,Hold,1.0
2025-01-10,391.4,399.28,377.29,394.74,62287333,Hold,1.0
2025-01-13,383.21,403.79,380.07,403.31,67580494,Hold,1.0
2025-01-14,414.34,422.64,394.54,396.36,84565022,Hold,1.0
2025-01-15,409.9,429.8,405.661,428.22,81375460,Hold,1.0
2025-01-16,423.49,424.0,409.13,413.82,68335151,Hold,1.0
2025-01-17,421.5,439.74,419.75,426.5,94991429,Hold,1.0
2025-01-21,432.64,433.2,406.31,424.07,87320894,Hold,1.0
2025-01-22,416.81,428.0,414.59,415.11,60963342,Hold,1.0
2025-01-23,416.06,420.73,408.95,412.38,50690592,Hold,1.0
2025-01-24,414.45,418.88,405.78,406.58,56427149,Hold,1.0
2025-01-27,394.8,406.69,389.0,397.15,58125510,Hold,1.0
2025-01-28,396.91,400.59,386.5,398.09,48910676,Hold,1.0
2025-01-29,395.21,398.5899,384.48,389.1,68033648,Hold,1.0
2025-01-30,410.78,412.5,384.41,400.28,98092879,Hold,1.0
2025-01-31,401.53,419.99,401.34,404.6,83568219,Hold,1.0
2025-02-03,386.68,389.17,374.36,383.68,93732122,Hold,1.0
2025-02-04,382.63,394.0,381.4,392.21,57072235,Hold,1.0
2025-02-05,387.51,388.39,375.53,378.17,57614721,Hold,1.0
2025-02-06,373.03,375.4,363.18,374.32,77918230,Hold,1.0
2025-02-07,370.19,380.5459,360.34,361.62,70298258,Hold,1.0
2025-02-10,356.21,362.7,350.51,350.73,77514903,Hold,1.0
2025-02-11,345.8,349.37,325.1,328.5,118543400,Hold,1.0
2025-02-12,329.94,346.4,329.12,336.51,105382729,Hold,1.0
2025-02-13,345.0,358.69,342.85,355.94,89441519,Hold,1.0
2025-02-14,360.62,362.0,347.5,355.84,68277279,Hold,1.0
2025-02-18,355.01,359.1,350.02,354.11,51631702,Hold,1.0
2025-02-19,354.0,367.34,353.67,360.56,67094374,Hold,1.0
2025-02-20,361.51,362.3,348.0,354.4,45965354,Hold,1.0
2025-02-21,353.44,354.98,334.42,337.8,74058648,Hold,1.0
2025-02-24,338.14,342.3973,324.7,330.4,76052321,Hold,1.0
2025-02-25,327.025,328.89,297.2512,302.8,134228777,Hold,1.0
2025-02-26,303.715,309.0,288.04,290.8,100118276,Hold,1.0
2025-02-27,291.16,297.23,280.88,281.95,101748197,Hold,1.0
2025-02-28,279.5,293.88,273.6,292.98,115696968,Hold,1.0
2025-03-03,300.34,303.94,277.3,284.65,115551414,Hold,1.0
2025-03-04,270.93,284.35,261.8401,272.04,126706623,Hold,1.0
2025-03-05,272.92,279.55,267.71,279.1,94042913,Hold,1.0
2025-03-06,272.06,272.65,260.02,263.45,98451566,Hold,1.0
2025-03-07,259.32,266.2499,250.73,262.67,102369640,Hold,1.0
2025-03-10,252.535,253.37,220.0,222.15,189076948,Hold,1.0
2025-03-11,225.305,237.0649,217.02,230.58,174896415,Hold,1.0
2025-03-12,247.22,251.84,241.1,248.09,142215681,Hold,1.0
2025-03-13,248.125,248.29,232.6,240.68,114813525,Hold,1.0
2025-03-14,247.31,251.58,240.73,249.98,100242264,Hold,1.0
2025-03-17,245.055,245.4,232.8,238.01,111900565,Hold,1.0
2025-03-18,228.155,230.1,222.28,225.31,111477636,Hold,1.0
2025-03-19,231.61,241.41,229.201,235.86,111993753,Hold,1.0
2025-03-20,233.345,238.0,230.0501,236.26,99028270,Hold,1.0
2025-03-21,234.985,249.52,234.55,248.71,132728684,Hold,1.0
2025-03-24,258.075,278.64,256.33,278.39,169079865,Hold,1.0
2025-03-25,283.6,288.2,271.28,288.14,150361538,Hold,1.0
2025-03-26,282.66,284.9,266.51,272.06,156254441,Hold,1.0
2025-03-27,272.48,291.85,271.8216,273.13,162572146,Hold,1.0
2025-03-28,275.575,276.1,260.57,263.55,123809389,Hold,1.0
2025-03-31,249.31,260.56,243.3601,259.16,134008936,Hold,1.0
2025-04-01,263.8,277.45,259.25,268.46,146486911,Hold,1.0
2025-04-02,254.6,284.99,251.27,282.76,212787817,Hold,1.0
2025-04-03,265.29,276.3,261.51,267.28,136174291,Hold,1.0
2025-04-04,255.38,261.0,236.0,239.43,181229353,Hold,1.0
2025-04-07,223.78,252.0,214.25,233.29,183453776,Hold,1.0
2025-04-08,245.0,250.44,217.8,221.86,171603472,Hold,1.0
2025-04-09,224.69,274.69,223.88,272.2,219433373,Hold,1.0
2025-04-10,260.0,262.49,239.33,252.4,181722604,Hold,1.0
2025-04-11,251.84,257.74,241.3629,252.31,128948085,Hold,1.0
2025-04-14,258.36,261.8,245.93,252.35,100135241,Hold,1.0
2025-04-15,249.91,258.75,247.54,254.11,79594318,Hold,1.0
2025-04-16,247.61,251.97,233.89,241.55,112378737,Hold,1.0
2025-04-17,243.47,244.34,237.6833,241.37,83404775,Hold,1.0
2025-04-21,230.26,232.21,222.79,227.5,97768007,Hold,1.0
2025-04-22,230.96,242.79,229.8501,237.97,120858452,Hold,1.0
2025-04-23,254.86,259.4499,244.43,250.74,150381903,Hold,1.0
2025-04-24,250.5,259.54,249.2,259.51,94464195,Hold,1.0
2025-04-25,261.69,286.85,259.63,284.95,167560688,Hold,1.0
2025-04-28,288.98,294.86,272.42,285.88,151731771,Hold,1.0
2025-04-29,285.5,293.32,279.4695,292.03,108906553,Hold,1.0
2025-04-30,279.9,284.45,270.78,282.16,128961057,Hold,1.0
2025-05-01,280.01,290.8688,279.81,280.52,99658974,Hold,1.0
2025-05-02,284.9,294.78,279.81,287.21,114454683,Hold,1.0
2025-05-05,284.57,284.849,274.4,280.26,94618882,Hold,1.0
2025-05-06,273.105,277.73,271.35,275.35,76715792,Hold,1.0
2025-05-07,276.88,277.92,271.0,276.22,71882408,Hold,1.0
2025-05-08,279.63,289.8,279.41,284.82,97539448,Hold,1.0
2025-05-09,290.21,307.04,290.0,298.26,132387835,Hold,1.0
2025-05-12,321.99,322.21,311.5,318.38,112826661,Hold,1.0
2025-05-13,320.0,337.5894,316.8,334.07,136992574,Hold,1.0
2025-05-14,342.5,350.0,337.0,347.68,136997264,Hold,1.0
2025-05-15,340.34,346.1393,334.7153,342.82,97882596,Hold,1.0
2025-05-16,346.24,351.62,342.33,349.98,95895665,Hold,1.0
2025-05-19,336.3,343.0,333.37,342.09,88869853,Hold,1.0
2025-05-20,347.87,354.9899,341.63,343.82,131715548,Hold,1.0
2025-05-21,344.43,347.35,332.2,334.62,102354844,Hold,1.0
2025-05-22,331.9,347.27,331.39,341.04,97113416,Hold,1.0
2025-05-23,337.92,343.18,333.21,339.34,84654818,Hold,1.0
2025-05-27,347.35,363.79,347.32,362.89,120146414,Hold,1.0
2025-05-28,364.84,365.0,355.91,356.9,91404309,Hold,1.0
2025-05-29,365.29,367.71,356.0,358.43,88545666,Hold,1.0
2025-05-30,355.52,363.68,345.29,346.46,123474938,Hold,1.0
2025-06-02,343.5,348.02,333.33,342.69,81873829,Hold,1.0
2025-06-03,346.595,355.4,343.04,344.27,99324544,Hold,1.0
2025-06-04,345.095,345.6,327.3308,332.05,98912075,Hold,1.0
2025-06-05,322.49,324.5499,273.21,284.7,292818655,Hold,1.0
2025-06-06,298.83,305.5,291.14,295.14,164747685,Hold,1.0
2025-06-09,285.955,309.83,281.85,308.58,140908876,Hold,1.0
2025-06-10,314.94,327.83,310.667,326.09,151256520,Hold,1.0
2025-06-11,334.395,335.5,322.5,326.43,122611360,Hold,1.0
2025-06-12,323.075,332.56,316.86,319.11,105127536,Hold,1.0
2025-06-13,313.97,332.99,313.3,325.31,128964279,Hold,1.0
2025-06-16,331.29,332.05,326.41,329.13,83925858,Hold,1.0
2025-06-17,326.09,327.26,314.74,316.35,88282669,Hold,1.0
2025-06-18,317.31,329.32,315.45,322.05,95137686,Hold,1.0
2025-06-20,327.95,332.36,317.78,322.16,108688008,Hold,1.0
2025-06-23,327.54,357.54,327.48,348.68,190716815,Hold,1.0
2025-06-24,356.17,356.26,340.44,340.47,114736245,Hold,1.0
2025-06-25,342.7,343.0,320.4,327.55,119845050,Hold,1.0
2025-06-26,324.61,331.05,323.61,325.78,80440907,Hold,1.0
2025-06-27,324.51,329.3393,317.495,323.63,89067049,Hold,1.0
2025-06-30,319.9,325.5799,316.6,317.66,76695081,Hold,1.0
2025-07-01,298.46,305.89,293.21,300.71,145085665,Hold,1.0
2025-07-02,312.63,316.832,303.82,315.65,119483730,Hold,1.0
2025-07-03,317.99,318.45,312.76,315.35,58042302,Hold,1.0
2025-07-07,291.37,296.15,288.7701,293.94,131177949,Hold,1.0
2025-07-08,297.0,304.0499,294.35,297.81,103246742,Hold,1.0
2025-07-09,297.55,300.15,293.55,295.88,75586771,Hold,1.0
2025-07-10,300.05,310.48,300.0,309.87,104365271,Hold,1.0
2025-07-11,307.89,314.09,305.65,313.51,79236442,Hold,1.0
2025-07-14,317.73,322.5986,312.67,316.9,78043430,Hold,1.0
2025-07-15,319.675,321.2,310.5,310.78,77556346,Hold,1.0
2025-07-16,312.8,323.5,312.62,321.67,97284786,Hold,1.0
2025-07-17,323.15,324.34,317.0601,319.41,73922870,Hold,1.0
2025-07-18,321.66,330.9,321.42,329.65,94254993,Hold,1.0
2025-07-21,334.4,338.0,326.88,328.49,75768797,Hold,1.0
2025-07-22,329.74,335.4098,321.55,332.11,77370371,Hold,1.0
2025-07-23,330.9,336.2,328.67,332.56,92553756,Hold,1.0
2025-07-24,310.0,310.15,300.41,305.3,156966023,Hold,1.0
2025-07-25,308.74,323.63,308.01,316.06,148227027,Hold,1.0
2025-07-28,318.45,330.49,315.69,325.59,112673755,Hold,1.0
2025-07-29,325.55,326.25,318.25,321.2,87358861,Hold,1.0
2025-07-30,322.18,324.4499,311.6164,319.04,83931942,Hold,1.0
2025-07-31,319.605,321.37,306.1,308.27,85270919,Hold,1.0
2025-08-01,306.205,309.31,297.82,302.63,89121446,Hold,1.0
2025-08-04,309.08,312.1186,303.0001,309.26,78683905,Hold,1.0
2025-08-05,308.95,312.4499,305.5,308.72,57961278,Hold,1.0
2025-08-06,307.89,320.47,306.9345,319.91,78523579,Hold,1.0
2025-08-07,319.79,322.4,316.16,322.27,66658672,Hold,1.0
2025-08-08,321.43,335.15,320.98,329.65,91200319,Hold,1.0
2025-08-11,335.0,346.64,334.15,339.03,105320174,Hold,1.0
2025-08-12,345.0,345.26,332.94,340.84,80690111,Hold,1.0
2025-08-13,341.5,348.98,338.2,339.38,67838892,Hold,1.0
2025-08-14,335.76,340.4699,330.4,335.58,75000662,Hold,1.0
2025-08-15,337.655,339.3,327.02,330.56,74319792,Hold,1.0
2025-08-18,329.62,336.27,329.59,335.16,56956552,Hold,1.0
2025-08-19,335.79,340.55,327.85,329.31,75956002,Hold,1.0
2025-08-20,329.22,331.37,314.6,323.9,77481768,Hold,1.0
2025-08-21,322.08,324.9,318.68,320.11,55744445,Hold,1.0
2025-08-22,321.66,340.25,319.69,340.01,94016347,Hold,1.0
2025-08-25,338.9,349.53,335.03,346.6,86670037,Hold,1.0
2025-08-26,344.93,351.9,343.72,351.67,76651550,Hold,1.0
2025-08-27,351.94,355.39,349.156,349.6,65519012,Hold,1.0
2025-08-28,350.91,353.55,340.26,345.98,67903224,Hold,1.0
2025-08-29,347.23,348.7499,331.7,333.87,81145660,Hold,1.0
2025-09-02,328.23,333.33,325.6,329.36,58391952,Hold,1.0
2025-09-03,335.2,343.33,328.51,334.09,88733288,Hold,1.0
2025-09-04,336.15,338.89,331.48,338.53,60711033,Hold,1.0
2025-09-05,348.0,355.87,344.6801,350.84,108989785,Hold,1.0
2025-09-08,354.64,358.44,344.84,346.4,75208290,Hold,1.0
2025-09-09,348.44,350.77,343.82,346.97,53815991,Hold,1.0
2025-09-10,350.55,356.33,346.07,347.79,72121679,Hold,1.0
2025-09-11,350.17,368.99,347.6,368.81,103756010,Hold,1.0
2025-09-12,370.94,396.6899,370.24,395.94,168156391,Hold,1.0
2025-09-15,423.13,425.7,402.43,410.04,163823667,Hold,1.0
2025-09-16,414.495,423.25,411.43,421.62,104285721,Hold,1.0
2025-09-17,415.75,428.3121,409.67,425.86,106133532,Buy,0.9995
