Date,Open,High,Low,Close,Volume,sentiment,signal,equity
2024-09-20,436.347,438.363,433.353,434.4,55277530.680537,0.0,Hold,1.0
2024-09-23,433.412,435.588,429.529,432.644,15159173.591868,0.0,Hold,1.0
2024-09-24,432.135,432.484,425.249,428.313,17049813.412135,0.0,Hold,1.0
2024-09-25,428.971,432.254,427.714,431.247,13423178.696697,0.0,Hold,1.0
2024-09-26,434.216,434.43,428.273,430.448,14521051.853503,0.0,Hold,1.0
2024-09-27,430.658,430.987,426.616,427.165,14925947.690165,0.0,Hold,1.0
2024-09-30,427.355,429.56,424.52,429.44,16888342.851868,0.0,Hold,1.0
2024-10-01,427.594,427.624,417.973,419.85,19131162.200521,0.0,Hold,1.0
2024-10-02,421.736,421.975,415.878,416.297,16615448.707243,0.0,Hold,1.0
2024-10-03,416.796,418.712,413.462,415.708,13713816.286362,0.0,Hold,1.0
2024-10-04,417.405,418.911,414.141,415.229,19229326.297178,0.0,Hold,1.0
2024-10-07,415.169,416.277,408.183,408.722,20961634.828316,0.0,Hold,1.0
2024-10-08,410.079,414.83,407.355,413.882,19267751.056065,0.0,Hold,1.0
2024-10-09,415.029,419.54,413.472,416.626,15004230.070284,0.0,Hold,1.0
2024-10-10,414.396,416.516,412.325,415.009,13876095.461952,0.0,Hold,1.0
2024-10-11,415.304,416.297,412.424,415.488,14173257.084294,0.0,Hold,1.0
2024-10-14,416.935,423.193,416.686,418.303,16686419.481396,0.0,Hold,1.0
2024-10-15,421.337,421.636,414.43,417.904,18938032.39644,0.0,Hold,1.0
2024-10-16,414.341,415.528,409.66,415.289,15539975.297098,0.0,Hold,1.0
2024-10-17,421.516,421.656,414.76,415.888,14849668.311325,0.0,Hold,1.0
2024-10-18,416.307,418.812,415.429,417.325,17179635.750605,0.0,Hold,1.0
2024-10-21,415.289,418.123,412.924,417.943,14234550.526608,0.0,Hold,1.0
2024-10-22,417.654,429.719,417.205,426.656,25533203.182255,0.0,Hold,1.0
2024-10-23,429.994,430.219,421.686,423.752,19693719.989216,0.0,Hold,1.0
2024-10-24,424.475,425.127,421.556,423.882,13608816.534517,0.0,Hold,1.0
2024-10-25,425.907,431.656,425.713,427.295,16932889.840775,0.0,Hold,1.0
2024-10-28,430.793,431.077,425.448,425.738,14912233.29372,0.0,Hold,1.0
2024-10-29,427.145,432.305,424.95,431.087,17679397.094527,0.0,Hold,1.0
2024-10-30,436.561,437.624,431.237,431.666,29808696.083629,0.0,Hold,1.0
2024-10-31,414.53,415.329,405.488,405.538,54079011.469012,0.0,Hold,1.0
2024-11-01,408.193,414.67,406.686,409.55,24278942.619502,0.0,Hold,1.0
2024-11-04,408.971,409.595,404.761,407.644,19711662.832582,0.0,Hold,1.0
2024-11-05,407.554,414.071,407.265,410.638,17661291.926895,0.0,Hold,1.0
2024-11-06,411.596,419.61,409.7,419.341,26735249.439553,0.0,Hold,1.0
2024-11-07,420.438,425.997,419.041,424.58,19941618.200932,0.0,Hold,1.0
2024-11-08,424.47,425.648,420.937,421.696,16925224.52823,0.0,Hold,1.0
2024-11-11,421.671,423.961,415.169,417.175,24552367.824996,0.0,Hold,1.0
2024-11-12,417.414,423.592,416.367,422.185,19440038.224034,0.0,Hold,1.0
2024-11-13,420.798,428.467,417.375,424.351,21545224.631433,0.0,Hold,1.0
2024-11-14,424.151,427.315,419.161,426.037,30307424.36386,0.0,Hold,1.0
2024-11-15,418.981,421.955,412.814,414.171,28304185.611311,0.0,Hold,1.0
2024-11-18,414.041,417.568,411.277,414.929,24791537.600427,0.0,Hold,1.0
2024-11-19,412.285,417.105,410.728,416.955,18169825.795174,0.0,Hold,1.0
2024-11-20,416.037,416.456,409.76,414.66,19230069.782395,0.0,Hold,1.0
2024-11-21,419.5,419.78,410.2887,412.87,20780162.0,0.0,Hold,1.0
2024-11-22,411.365,417.4,411.06,417.0,24814626.0,0.0,Hold,1.0
2024-11-25,418.38,421.08,414.85,418.79,27691090.0,0.16666666666666666,Buy,0.9995
2024-11-26,419.585,429.0414,418.85,427.99,23458889.0,0.15476190476190477,Hold,1.0214570667876501
2024-11-27,425.105,427.2299,422.02,422.99,18332444.0,0.15476190476190477,Hold,1.0095238783161011
2024-11-29,420.09,424.8849,417.8,423.46,16271921.0,0.14285714285714285,Hold,1.0106455980324267
2024-12-02,421.57,433.0,421.31,430.98,20207223.0,0.0,Hold,1.0285931134936364
2024-12-03,429.84,432.47,427.74,431.2,18301987.0,0.0,Hold,1.0291181737863844
2024-12-04,433.03,439.67,432.63,437.42,26009429.0,0.0,Hold,1.0439630602449914
2024-12-05,437.92,444.66,436.171,442.62,21697775.0,0.0,Hold,1.0563735762554023
2024-12-06,442.3,446.1,441.7703,443.57,18821002.0,0.0,Hold,1.0586408820649966
2024-12-09,442.6,448.33,440.5,446.02,19144388.0,0.0,Hold,1.0644881444160557
2024-12-10,444.39,449.62,441.6,443.33,18469459.0,0.0,Hold,1.0580680890183622
2024-12-11,444.05,450.35,444.05,448.99,19200208.0,0.0,Hold,1.0715764583681557
2024-12-12,449.11,456.1648,449.11,449.56,20834779.0,0.0,Hold,1.0729368418539122
2024-12-13,448.435,451.43,445.58,447.27,20177833.0,0.0,Hold,1.0674714415339428
2024-12-16,447.27,452.18,445.28,451.59,23598834.0,0.0,Hold,1.0777817163733612
2024-12-17,451.01,455.29,449.57,454.46,22733494.0,0.0,Hold,1.0846313665560303
2024-12-18,451.32,452.65,437.02,437.39,24444545.0,0.0,Hold,1.043891461114162
2024-12-19,441.62,443.1834,436.32,437.03,22963681.0,0.0,Hold,1.0430322715442106
2024-12-20,433.11,443.74,428.63,436.6,64263694.0,0.0,Hold,1.0420060173356576
2024-12-23,436.74,437.65,432.83,435.25,19152519.0,0.0,Hold,1.0387840564483393
2024-12-24,434.65,439.6,434.19,439.33,7164543.0,0.0,Hold,1.0485215382411233
2024-12-26,439.08,440.94,436.63,438.11,8199927.0,0.0,Hold,1.0456098402540654
2024-12-27,434.6,435.22,426.35,430.53,18117713.0,0.0,Hold,1.0275191265311971
2024-12-30,426.06,427.55,421.9,424.83,13158703.0,0.0,Hold,1.0139152916736314
2024-12-31,426.1,426.73,420.66,421.5,13246509.0,0.0,Hold,1.0059677881515798
2025-01-02,425.53,426.07,414.85,418.58,16896469.0,0.0,Hold,0.9989988060841952
2025-01-03,421.08,424.03,419.54,423.35,16662943.0,0.0,Hold,1.010383067886053
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0,0.0,Hold,1.0211229375104471
2025-01-07,429.0,430.65,420.8,422.37,18139065.0,0.0,Hold,1.0080441629456294
2025-01-08,423.46,426.97,421.54,424.56,15054575.0,0.0,Hold,1.0132708994961679
2025-01-10,424.63,424.71,415.02,418.95,20201132.0,0.0,Hold,0.99988186203109
2025-01-13,415.235,418.5,412.29,417.19,17604780.0,0.0,Hold,0.9956813796891048
2025-01-14,417.81,419.74,410.72,415.67,16935856.0,0.0,Hold,0.9920536903937539
2025-01-15,419.13,428.15,418.265,426.31,19637838.0,0.0,Hold,1.0174475154612102
2025-01-16,428.695,429.49,424.39,424.58,15300023.0,0.0,Hold,1.0133186322500543
2025-01-17,434.085,434.48,428.17,429.03,26197507.0,0.0,Hold,1.023939169989733
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0,0.0,Hold,1.0226742520117487
2025-01-22,437.56,447.27,436.0,446.2,27803811.0,0.0,Hold,1.064917739201032
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0,0.0,Hold,1.06613492442513
2025-01-24,445.16,446.65,441.4,444.06,15549453.0,0.0,Hold,1.059810334535209
2025-01-27,424.01,435.2,423.5,434.56,35647805.0,0.0,Hold,1.037137276439266
2025-01-28,434.6,448.38,431.38,447.2,23491703.0,0.0,Hold,1.0673043768953416
2025-01-29,446.69,446.88,440.4,442.33,23581370.0,0.0,Hold,1.0556814513240529
2025-01-30,418.77,422.86,413.16,414.99,54586260.0,0.0,Hold,0.990430776761623
2025-01-31,418.98,420.69,414.91,415.06,34223388.0,0.0,Hold,0.9905978414002248
2025-02-03,411.6,415.41,408.66,410.92,25679149.0,0.0,Hold,0.9807171613457822
2025-02-04,412.685,413.9199,409.74,412.37,20532096.0,0.0,Hold,0.9841777860025314
2025-02-05,412.35,413.827,410.4,413.29,16336188.0,0.0,Hold,0.9863734926812964
2025-02-06,414.0,418.2,414.0,415.82,16309755.0,0.0,Hold,0.9924116860479001
2025-02-07,416.48,418.65,408.1,409.75,22886844.0,0.0,Hold,0.9779247952434396
2025-02-10,413.71,415.4624,410.92,412.22,20817919.0,0.0,Hold,0.983819790348385
2025-02-11,409.64,412.49,409.3,411.44,18140592.0,0.0,Hold,0.9819582129468232
2025-02-12,407.21,410.75,404.3673,409.04,19121734.0,0.0,Hold,0.9762302824804797
2025-02-13,407.0,411.0,406.36,410.54,23891731.0,0.0,Hold,0.9798102390219444
2025-02-14,407.79,408.91,405.88,408.43,22758464.0,0.0,Hold,0.9747744334869507
2025-02-18,408.0,410.597,406.5,409.64,21423051.0,0.0,Hold,0.9776622650970656
2025-02-19,407.88,415.49,407.65,414.77,24114197.0,0.0,Hold,0.9899057164688749
2025-02-20,415.29,419.31,412.54,416.13,23508728.0,0.0,Hold,0.9931515437331364
2025-02-21,417.335,418.048,407.89,408.21,27524799.0,0.0,Hold,0.9742493731942028
2025-02-24,408.51,409.37,399.32,404.0,26443656.0,0.0,Hold,0.9642016285011586
2025-02-25,401.1,401.915,396.7,397.9,29387402.0,0.0,Hold,0.9496431385658689
2025-02-26,398.01,403.6,394.245,399.73,19618954.0,0.0,Hold,0.9540106855464558
2025-02-27,401.265,405.74,392.17,392.53,21127406.0,0.0,Hold,0.9368268941474251
2025-02-28,392.655,397.63,386.57,396.99,32845658.0,0.0,Hold,0.9474712982640471
2025-03-03,398.82,398.82,386.155,388.49,23007726.0,0.0,Hold,0.9271848778624138
2025-03-04,383.4,392.58,381.0,388.61,29342923.0,0.0,Hold,0.9274712743857308
2025-03-05,389.34,401.67,388.81,401.02,23433132.0,0.0,Hold,0.9570894481721153
2025-03-06,394.28,402.15,392.6777,396.89,23304625.0,0.0,Hold,0.9472326344946158
2025-03-07,392.32,394.8,385.54,393.31,22034087.0,0.0,Hold,0.9386884715489868
2025-03-10,385.84,386.4,377.22,380.16,32840134.0,0.0,Hold,0.907304185868813
2025-03-11,379.0,386.0,376.91,380.45,30380177.0,0.0,Hold,0.9079963108001626
2025-03-12,382.95,385.2165,378.9507,383.27,24253567.0,0.0,Hold,0.9147266290981163
2025-03-13,383.155,385.32,377.45,378.77,20473017.0,0.0,Hold,0.9039867594737222
2025-03-14,379.775,390.23,379.51,388.56,19952846.0,0.0,Hold,0.9273519425010153
2025-03-17,386.7,392.705,385.57,388.7,22474272.0,0.0,Hold,0.9276860717782187
2025-03-18,387.07,387.37,381.1,383.52,19486850.0,0.0,Hold,0.915323288521694
