Date,Open,High,Low,Close,Volume,sentiment,signal,equity
2024-09-20,564.239,565.7,561.586,564.646,77997763,0.0,Hold,1.0
2024-09-23,565.73,566.716,564.497,566.058,44398492,0.0,Hold,1.0
2024-09-24,566.862,567.737,564.0,567.677,47104402,0.0,Hold,1.0
2024-09-25,567.518,568.263,565.302,566.425,38673852,0.0,Hold,1.0
2024-09-26,570.738,571.066,566.286,568.671,48644502,0.0,Hold,1.0
2024-09-27,569.754,570.578,566.802,567.846,42369631,0.0,Hold,1.0
2024-09-30,566.802,570.738,564.477,570.121,64061720,0.0,Hold,1.0
2024-10-01,569.764,570.422,562.411,565.014,73132576,0.0,Hold,1.0
2024-10-02,564.11,566.286,561.685,565.252,38340952,0.0,Hold,1.0
2024-10-03,563.762,566.189,561.904,564.219,41107163,0.0,Hold,1.0
2024-10-04,568.721,569.724,564.497,569.346,43279660,0.0,Hold,1.0
2024-10-07,567.677,568.333,563.037,564.199,50283583,0.0,Hold,1.0
2024-10-08,566.802,570.141,565.918,569.535,37637385,0.0,Hold,1.0
2024-10-09,569.525,574.047,568.919,573.479,38154213,0.0,Hold,1.0
2024-10-10,572.118,573.917,570.846,572.476,44419765,0.0,Hold,1.0
2024-10-11,572.397,576.65,572.258,575.904,42537763,0.0,Hold,1.0
2024-10-14,577.534,581.558,577.047,580.614,36448366,0.0,Hold,1.0
2024-10-15,580.883,581.19,574.876,576.103,54549583,0.0,Hold,1.0
2024-10-16,576.103,579.133,575.288,578.607,30921537,0.0,Hold,1.0
2024-10-17,582.194,582.403,578.468,578.657,34613227,0.0,Hold,1.0
2024-10-18,580.366,581.678,578.885,580.883,37655608,0.0,Hold,1.0
2024-10-21,580.147,581.141,576.918,579.929,36671577,0.0,Hold,1.0
2024-10-22,577.365,580.793,576.7,579.621,34402008,0.0,Hold,1.0
2024-10-23,577.574,578.02,570.772,574.325,49629317,0.0,Hold,1.0
2024-10-24,576.302,576.382,572.913,575.566,35203114,0.0,Hold,1.0
2024-10-25,577.822,580.753,574.414,575.368,47569858,0.0,Hold,1.0
2024-10-28,578.885,579.015,576.838,577.146,30367290,0.0,Hold,1.0
2024-10-29,576.172,579.21,574.761,578.081,43173462,0.0,Hold,1.0
2024-10-30,577.604,579.621,575.616,576.332,41700297,0.0,Hold,1.0
2024-10-31,571.91,571.98,564.835,565.034,60566557,0.0,Hold,1.0
2024-11-01,567.697,571.9,567.001,567.419,45958999,0.0,Hold,1.0
2024-11-04,567.557,568.869,564.289,566.196,38460889,0.0,Hold,1.0
2024-11-05,567.12,573.083,566.902,573.043,39730287,0.0,Hold,1.0
2024-11-06,585.463,588.176,581.678,587.292,68617130,0.0,Hold,1.0
2024-11-07,589.319,592.866,589.239,591.833,47534671,0.0,Hold,1.0
2024-11-08,592.389,595.837,592.384,594.396,46741321,0.0,Hold,1.0
2024-11-11,596.006,596.364,593.214,594.963,37826665,0.0,Hold,1.0
2024-11-12,594.883,595.489,590.601,593.114,43280608,0.0,Hold,1.0
2024-11-13,593.582,595.429,591.187,593.402,47691091,0.0,Hold,1.0
2024-11-14,593.532,594.019,588.891,589.587,39152409,0.0,Hold,1.0
2024-11-15,585.98,586.457,580.157,582.036,76473754,0.0,Hold,1.0
2024-11-18,582.502,585.751,581.628,584.42,37320765,0.0,Hold,1.0
2024-11-19,581.002,587.297,580.326,586.556,49727411,0.0,Hold,1.0
2024-11-20,586.636,587.044,580.922,586.755,50351902,0.0,Hold,1.0
2024-11-21,589.637,591.346,583.725,589.905,47048662,0.0,Hold,1.0
2024-11-22,589.895,592.37,589.39,591.733,38470364,0.0,Hold,1.0
2024-11-25,595.717,597.049,591.425,593.74,42712269,0.16666666666666666,Buy,0.9995
2024-11-26,595.003,597.516,594.277,596.841,45912459,0.15476190476190477,Hold,1.0047202133930677
