Date,Open,High,Low,Close,Volume,sentiment,signal,equity
2024-12-05,521.69,522.418,519.806,520.195,18226047,0.0,Hold,1.029529213578815
2024-12-06,520.863,525.089,520.733,524.851,23836392,0.0,Hold,1.038744004221599
2024-12-09,523.923,524.721,519.606,520.763,20738597,0.0,Hold,1.0306533547053403
2024-12-10,521.999,523.754,517.553,518.988,24425645,0.0,Hold,1.0271404136849491
2024-12-11,523.375,528.967,522.966,528.28,32268460,0.0,Hold,1.0455304125364842
2024-12-12,526.047,527.323,524.391,524.871,23650710,0.0,Hold,1.0387835866556314
2024-12-13,528.818,531.516,525.668,528.888,28869766,0.0,Hold,1.0467337185310746
2024-12-16,531.43,537.481,531.35,536.504,32079158,0.0,Hold,1.0618067094106798
2024-12-17,534.7,535.816,532.476,534.142,28667806,0.0,Hold,1.0571320239514326
2024-12-18,533.494,535.218,513.416,514.871,54873004,0.0,Hold,1.018992369639343
2024-12-19,519.576,520.145,512.239,512.579,46585952,0.0,Hold,1.0144562226992098
2024-12-20,508.86,523.195,507.713,517.054,60717902,0.0,Hold,1.023312792313999
2024-12-23,518.777,522.471,515.362,522.092,29717032,0.0,Hold,1.0332836074468053
2024-12-24,524.049,529.261,523.41,529.171,17584388,0.0,Hold,1.047293809972636
2024-12-26,527.534,530.449,525.527,528.812,19170027,0.0,Hold,1.0465833052817513
2024-12-27,525.227,525.666,517.089,521.782,33889998,0.0,Hold,1.0326700797193005
2024-12-30,514.743,518.587,511.068,514.843,34635581,0.0,Hold,1.0189369542316977
2024-12-31,516.131,516.889,509.5,510.469,29160432,0.0,Hold,1.0102802759087732
2025-01-02,513.534,515.871,504.957,509.471,36444028,0.0,Hold,1.0083051124505478
2025-01-03,512.586,518.872,511.767,517.808,29102838,0.0,Hold,1.0248050500770274
2025-01-06,523.24,527.134,521.253,523.759,36163561,0.0,Hold,1.0365828033234208
2025-01-07,524.808,525.207,512.516,514.413,36744965,0.0,Hold,1.0180859318999975
2025-01-08,514.313,516.15,509.81,514.503,30823656,0.0,Hold,1.0182640528531441
2025-01-10,510.719,510.819,503.17,506.435,40592915,0.0,Hold,1.0022964989644025
2025-01-13,500.454,505.267,498.956,504.807,31741455,0.0,Hold,0.9990744888341508
2025-01-14,507.983,509.396,500.843,504.328,33787528,0.0,Hold,0.9981264895390706
2025-01-15,512.266,517.079,510.699,515.931,35009664,0.0,Hold,1.0210902386430702
2025-01-16,518.208,518.287,512.186,512.316,28271117,0.0,Hold,1.013935713691682
2025-01-17,522.072,523.293,512.345,520.963,51915214,0.0,Hold,1.0310491790456664
2025-01-21,523.699,525.187,519.286,524.019,23663192,0.0,Hold,1.037097374965844
2025-01-22,528.782,533.025,528.472,530.719,33643064,0.0,Hold,1.0503574903667574
2025-01-23,528.253,531.967,527.663,531.847,23131017,0.0,Hold,1.0525899396461946
2025-01-24,532.227,532.995,527.364,528.842,19907883,0.0,Hold,1.0466426789328
2025-01-27,510.239,517.219,509.391,513.445,60862285,0.0,Hold,1.0161701420928209
2025-01-28,514.453,522.222,511.018,521.033,33243695,0.0,Hold,1.0311877175647806
2025-01-29,521.682,521.812,516.129,520.055,26688736,0.0,Hold,1.0292521365405873
2025-01-30,522.93,525.312,517.439,522.271,27472193,0.0,Hold,1.0336378702313969
2025-01-31,526.136,530.727,520.414,521.513,38903373,0.0,Hold,1.0321376959815625
2025-02-03,512.706,520.074,510.289,517.339,40641327,0.0,Hold,1.0238768419989637
2025-02-04,517.858,524.328,517.459,523.689,26085580,0.0,Hold,1.0364442648043066
2025-02-05,521.043,526.226,519.845,526.066,21165574,0.0,Hold,1.0411486370890783
2025-02-06,526.575,529.021,524.959,528.812,19463424,0.0,Hold,1.0465833052817513
2025-02-07,529.351,531.308,521.413,522.142,29649602,0.0,Hold,1.033382563531887
2025-02-10,526.435,529.568,525.966,528.462,20883868,0.0,Hold,1.045890612686181
2025-02-11,525.177,529.131,525.047,527.204,19354308,0.0,Hold,1.043400877585532
2025-02-12,521.523,528.402,521.173,527.514,25046642,0.0,Hold,1.044014405313037
2025-02-13,529.191,535.422,528.402,535.102,28757603,0.0,Hold,1.0590319807849964
2025-02-14,535.207,538.038,534.873,537.349,17889199,0.0,Hold,1.0634790672485566
2025-02-18,538.927,539.196,535.242,538.567,20595683,0.0,Hold,1.0658896374811406
2025-02-19,537.768,540.005,535.662,538.717,19696177,0.0,Hold,1.0661865057363848
2025-02-20,537.928,538.298,531.667,536.43,26590331,0.0,Hold,1.0616602544047598
2025-02-21,537.579,537.599,524.928,525.297,47163951,0.0,Hold,1.039626692500526
2025-02-24,527.094,528.282,518.757,519.176,39326928,0.0,Hold,1.0275124885648559
2025-02-25,518.467,518.547,508.682,512.556,49012978,0.0,Hold,1.0144107029000728
2025-02-26,514.763,518.887,510.609,513.794,34508983,0.0,Hold,1.0168608555666891
2025-02-27,517.359,518.297,499.306,499.525,52526148,0.0,Hold,0.9886207680061473
2025-02-28,499.386,508.023,496.19,507.414,47725079,0.0,Hold,1.0042340591102972
2025-03-03,510.759,512.276,492.845,496.31,44653669,0.0,Hold,0.9822578917354106
2025-03-04,493.444,502.99,487.009,494.812,67976582,0.0,Hold,0.9792931674263706
2025-03-05,495.461,502.88,490.529,501.263,46392778,0.0,Hold,0.9920604815235782
2025-03-06,492.955,497.838,485.476,487.473,57660156,0.0,Hold,0.9647683932581166
2025-03-07,486.435,492.546,479.815,491.058,54796287,0.0,Hold,0.9718635445584559
2025-03-10,482.73,483.25,467.962,472.026,76782316,0.0,Hold,0.9341969003330558
2025-03-11,471.647,478.092,466.315,470.898,68863271,0.0,Hold,0.9319644510536185
2025-03-12,478.447,480.344,471.088,476.21,47041100,0.0,Hold,0.9424775455326707
2025-03-13,475.541,475.571,465.736,467.643,46632759,0.0,Hold,0.9255224099148164
2025-03-14,473.025,479.845,472.416,478.946,43627948,0.0,Hold,0.9478924225083273
2025-03-17,478.896,485.117,477.089,482.051,41806581,0.0,Hold,0.9540375953918848
2025-03-18,478.696,478.896,471.707,473.834,39130509,0.0,Hold,0.9377751523696006
2025-03-19,476.1,484.608,474.163,480.174,40490602,0.0,Hold,0.9503227839579275
2025-03-20,476.17,483.829,475.471,478.547,36835376,0.0,Hold,0.9471027529493774
2025-03-21,473.374,480.893,472.201,480.124,42297832,0.0,Hold,0.9502238278728461
2025-03-24,487.74,491.51,484.4,490.66,34567186,0.0,Hold,0.9710758541212076
2025-03-25,491.39,493.62,490.42,493.46,26035241,0.0,Hold,0.9766173948857682
2025-03-26,492.3,493.16,482.82,484.38,35043357,0.0,Hold,0.9586469698349783
2025-03-27,482.41,486.579,480.25,481.62,33469817,0.0,Hold,0.9531845939384828
2025-03-28,479.81,480.52,468.05,468.94,46363797,0.0,Hold,0.9280893307618291
2025-03-31,461.92,469.86,457.33,468.92,53000303,0.0,Hold,0.9280497483277965
2025-04-01,467.3,473.63,464.42,472.7,41156226,0.0,Hold,0.9355308283599535
2025-04-02,466.12,479.56,465.86,476.15,49894489,0.0,Hold,0.9423587982305729
2025-04-03,456.44,460.07,450.14,450.66,70456338,0.0,Hold,0.8919109860560539
2025-04-04,438.14,440.37,422.67,422.67,117088441,0.0,Hold,0.8365153696274625
2025-04-07,408.66,443.14,402.39,423.69,161556970,0.0,Hold,0.8385340737631239
2025-04-08,438.16,443.138,409.79,416.06,101248060,0.0,Hold,0.823433375179696
2025-04-09,415.57,467.83,415.43,466.0,142876878,0.0,Hold,0.9222707129590404
2025-04-10,453.56,455.59,432.63,446.18,108384092,0.0,Hold,0.8830445208327568
2025-04-11,444.65,455.79,441.33,454.4,52483779,0.0,Hold,0.8993129012201457
2025-04-14,464.46,465.05,452.63,457.48,43941179,0.0,Hold,0.9054085960611628
2025-04-15,458.54,462.38,456.15,457.99,35404210,0.0,Hold,0.9064179481289933
2025-04-16,449.03,452.62,437.76,444.18,48980552,0.0,Hold,0.879086277429499
2025-04-17,447.17,447.75,441.36,444.1,44837047,0.0,Hold,0.8789279476933687
2025-04-21,438.23,439.08,427.93,433.11,44149313,0.0,Hold,0.8571774001924677
2025-04-22,438.82,447.58,437.62,444.48,52304388,0.0,Hold,0.8796800139399876
2025-04-23,458.17,463.38,452.88,454.56,55801136,0.0,Hold,0.8996295606924063
2025-04-24,456.48,467.66,455.83,467.35,45956136,0.0,Hold,0.9249425272562393
2025-04-25,466.97,473.09,465.39,472.56,38697063,0.0,Hold,0.9352537513217254
2025-04-28,473.03,474.808,466.03,472.41,33550778,0.0,Hold,0.9349568830664811
2025-04-29,470.17,476.424,469.59,475.53,30613120,0.0,Hold,0.9411317427755629
2025-04-30,467.13,477.2,462.43,475.47,46810610,0.0,Hold,0.9410129954734653
2025-05-01,483.41,487.18,480.74,481.68,43316539,0.0,Hold,0.9533033412405802
2025-05-02,486.54,490.91,484.83,488.83,39218082,0.0,Hold,0.9674540614072265
2025-05-05,484.6,489.03,484.1,485.93,28309490,0.0,Hold,0.9617146084725029
2025-05-06,479.56,485.05,478.19,481.41,32786310,0.0,Hold,0.9527689783811405
2025-05-07,482.08,485.8,476.782,483.3,38109864,0.0,Hold,0.956509518397219
2025-05-08,488.53,492.7,484.17,488.29,39577592,0.0,Hold,0.9663853356883468
2025-05-09,490.21,491.54,486.195,487.97,27767416,0.0,Hold,0.9657520167438256
2025-05-12,506.99,507.89,501.48,507.85,45090616,0.0,Hold,1.005096956172207
2025-05-13,509.16,517.39,508.42,515.59,53269573,0.0,Hold,1.0204153581428141
2025-05-14,516.77,519.227,515.75,518.68,47014516,0.0,Hold,1.026530844200847
2025-05-15,516.52,521.93,515.17,519.25,50153275,0.0,Hold,1.0276589435707755
2025-05-16,520.66,521.7,517.1,521.51,48394603,0.0,Hold,1.0321317586164565
2025-05-19,514.24,522.53,514.24,522.01,52536154,0.0,Hold,1.0331213194672708
2025-05-20,519.47,520.93,516.66,520.27,42517561,0.0,Hold,1.0296776477064367
2025-05-21,516.27,523.0,511.24,513.04,71292831,0.0,Hold,1.0153685978036602
2025-05-22,513.66,517.71,512.3,514.0,55607169,0.0,Hold,1.017268554637224
2025-05-23,506.18,511.84,505.58,509.24,58368075,0.0,Hold,1.0078479353374707
2025-05-27,516.15,521.71,514.59,521.22,47226323,0.0,Hold,1.0315578133229844
2025-05-28,522.18,523.68,518.39,518.91,46637175,0.0,Hold,1.0269860421922217
2025-05-29,526.33,526.48,517.32,519.93,58724069,0.0,Hold,1.029004746327883
2025-05-30,519.44,520.68,511.93,519.11,67662836,0.0,Hold,1.0273818665325476
2025-06-02,517.24,523.45,515.97,523.21,44762817,0.0,Hold,1.035496265509226
2025-06-03,523.56,528.74,522.69,527.3,44070330,0.0,Hold,1.0435908732688877
2025-06-04,528.01,529.84,525.9694,528.77,41359322,0.0,Hold,1.0465001821702822
2025-06-05,530.18,533.05,522.66,524.79,61286623,0.0,Hold,1.0386232777977993
2025-06-06,530.0,531.8,528.21,529.92,42467021,0.0,Hold,1.0487761721271551
